date,usdt_close,krw_close,usdkrw,usd_ffill,greed,greed_ffill,kimchi_pct
2020-07-28,0.2307,270.0,1196.6,False,76.0,False,-2.19362315463818
2020-07-29,0.2436,287.0,1195.1,False,71.0,False,-1.4173776637745772
2020-07-30,0.2442,288.0,1195.2,False,76.0,False,-1.325202530021807
2020-07-31,0.2596,307.0,1191.4,False,75.0,False,-0.7395838641232944
2020-08-01,0.2912,344.0,1189.1,True,75.0,False,-0.6543872408812268
2020-08-02,0.2885,340.0,1189.1,True,80.0,False,-0.8906288737371315
2020-08-03,0.3102,367.0,1189.1,False,75.0,False,-0.5039380649756287
2020-08-04,0.3019,359.0,1193.7,False,72.0,False,-0.3823845754415189
2020-08-05,0.3025,358.0,1193.5,False,75.0,False,-0.8402954017456832
2020-08-06,0.3035,358.0,1190.3,False,79.0,False,-0.901313625058997
2020-08-07,0.2947,350.0,1184.3,False,77.0,False,0.2827371491182173
2020-08-08,0.2957,348.0,1185.9,True,77.0,False,-0.7615778943335205
2020-08-09,0.2886,340.0,1185.9,True,79.0,False,-0.6576289652434508
2020-08-10,0.295,347.0,1185.9,False,78.0,False,-0.8119414418856663
2020-08-11,0.2833,338.0,1186.7,False,84.0,False,0.537755035357601
2020-08-12,0.2826,335.0,1184.9,False,75.0,False,0.0439775406944509
2020-08-13,0.2946,345.0,1186.0,False,75.0,False,-1.258058201076362
2020-08-14,0.3006,353.0,1183.6,False,78.0,False,-0.7842150553011296
2020-08-15,0.2992,351.0,1185.8,True,79.0,False,-1.0686167780410427
2020-08-16,0.3052,355.0,1185.8,True,82.0,False,-1.908273680669048
2020-08-17,0.3161,366.0,1185.8,True,83.0,False,-2.3560940922288776
2020-08-18,0.3029,355.0,1185.8,False,82.0,False,-1.1634371982178648
2020-08-19,0.2899,342.0,1185.1,False,80.0,False,-0.4542111346971134
2020-08-20,0.2923,344.0,1182.3,False,75.0,False,-0.4590141582294871
